,N,Solucion,Tiempo
0,20,0.0,0.0388600826263427
1,20,2.0,1.6904327869415283
2,50,6.0,36.37095141410828
3,10,1.0,0.0388000011444091
4,10,1.0,0.0378985404968261
5,4,0.0,0.0069918632507324
6,4,0.0,0.0079772472381591
7,4,0.0,0.0076687335968017
8,4,0.0,0.0078034400939941
9,4,0.0,0.0069804191589355
10,4,0.0,0.0079591274261474
11,4,0.0,0.0149588584899902
12,4,0.0,0.0089926719665527
13,4,0.0,0.0099735260009765
14,4,15.0,0.0434722900390625
15,4,15.0,0.0119678974151611
16,4,15.0,0.0119719505310058
17,4,15.0,0.0109717845916748
18,4,15.0,0.0089757442474365
19,4,0.0,0.0114996433258056
20,4,15.0,0.010941743850708
21,4,15.0,0.0099735260009765
22,4,15.0,0.008976936340332
23,4,15.0,0.0129628181457519
24,4,15.0,0.0129663944244384
25,10,28.0,0.0521028041839599
26,10,28.0,0.0548465251922607
27,20,53.0,6.222604274749756
28,20,53.0,7.821779727935791
29,10,1.0,0.1127121448516845
30,10,1.0,0.0591511726379394
31,4,0.0,0.0214731693267822
32,20,2.0,1.337416172027588
33,20,2.0,1.3138017654418943
34,4,0.0,0.0135869979858398
35,4,0.0,0.0189173221588134
36,4,0.0,0.0172114372253417
37,4,0.0,0.0141973495483398
38,4,0.0,0.0159590244293212
39,4,0.0,0.0139636993408203
40,10,1.0,0.0596389770507812
41,10,1.0,0.0374119281768798
42,30,5.9999999935,120.04760217666626
43,40,5.999999994273809,120.05130290985107
44,40,5.999999994273809,120.03275966644289
45,50,5.999999994500002,453.154239654541
46,50,5.999999992166666,120.05024838447572
47,50,0.0,0.07747054100036621
